상품번호,최저연회비,全가맹점,백화점,대형마트,편의점,온라인쇼핑,해외직구,대중교통,병원,교육,영화,요식,커피,베이커리,배달앱,일반주유,전기차충전,아파트관리비/공과금,통신,렌탈,정기구독/스트리밍,호텔/숙박,스포츠/레저,항공/라운지,항공구분
AEC03A,0.0005920971501361217,0.01953742213988864,0.6147942302285552,0.34925294526005457,0.0,0.47542061817032966,0.0008984019708394739,0.023197281633255334,0.024618714720607424,0.016991962984790283,0.6443590026960359,0.6348674036871816,0.34692474425115893,0.815100556864937,0.02214885952391646,0.5652934601734074,0.016811733606906538,0.019184683424465183,0.0010964801035195464,0.017101984599955784,0.020381631857392057,0.019144979691905952,0.8464281347791589,0.22252721521208044,0.5
ALZCCY,0.0,0.4768471517949922,0.08555083446360676,0.053633112201375455,0.11398625568584468,0.11159049102877042,0.43639990824930613,0.11751626446182302,0.12471717313935467,0.08608043163917486,0.1278905183324034,0.15647711608778184,0.48201293116601107,0.12293213014828666,0.11220501067715273,0.060104631397270736,0.08516739865668899,0.09718864333197395,0.10666243834423547,0.08663779561952033,0.10325232401727241,1.0,0.15787710758744014,0.28426938235872923,0.5
AUAARH,0.00014770841999744966,0.07292917536690988,0.04394070015832495,0.25934217405263954,0.45967775373989234,0.35140095553131057,0.05785606793789914,0.0853066994075259,0.6125213400762127,0.06248698884654164,0.09269680766432219,0.47379189232185037,0.05835582434084792,0.08923815203038203,0.081451186026796,0.4066139002229824,0.06182420543913183,0.9654453493319975,0.4490801296185733,0.06289158715256896,0.07495230560984499,0.07040458677706793,0.1144315002195473,0.027562064159221644,0.5
BPAC88,0.0002829089721762807,0.1379007821035838,0.1415792094729596,0.10668368200896264,0.1664002369192224,0.1527739652040226,0.1271669792712578,0.16088669860918964,0.17074516738727694,0.11784918900123825,0.17527912815555458,0.21422640287743874,0.3332674282737692,0.16830133822861865,0.153615278854618,0.4168458338446579,1.0,0.13305698610822533,0.15520453774753704,0.11861225317054386,0.1413585226771903,0.1327816175303503,0.21637696159556377,0.08382840460657526,0.5
AXAAZE,9.599099595205894e-05,0.07472260194104527,0.046635838943695176,0.47404224664346756,0.07758166882182915,0.5874178601932978,0.059769273359562544,0.08739295193920116,0.09274802911814384,0.06401516470592039,0.09497634692095476,0.7883364517118312,0.4916153326834475,0.971279292504651,0.08344314848972731,0.003439147569119376,0.06333617233050146,0.07227597366751426,0.7789907852813951,0.06442965782965984,0.07678533207106618,0.07212639465880916,0.1172455248177883,0.02911519721619857,0.5
AZAAZW,0.00034420988579507514,0.426785173360384,0.643852393656448,0.36719602271986757,0.6737691417491536,0.49560660161768416,0.0,0.022217620293755094,0.023579023802453063,0.01627436298830819,0.023762663632795816,0.6616925748089735,0.3633798088679859,0.8509079137012504,0.021213474864082173,0.5952425365997844,0.01610174500888683,0.01837448104995264,0.0,0.016379738200304944,0.019520880279586972,0.018336454074715115,0.02933431384778839,0.23303164810101465,0.5
BCAAZX,0.00020207745307539155,0.06967879284018487,0.9622038523609725,0.5923322403437615,0.07049086783733588,0.7202579164083288,0.5672456976933772,0.08152560300074256,0.08652115340202136,0.059717343195739146,0.08856540096186807,0.1085542610062957,0.6003473833243098,0.085282799656729,0.07784097968950815,0.9602459388326099,0.05908393670687897,0.06742354165824681,0.066380105446712,0.06010400826543526,0.07163015277320026,0.06728400501815916,0.10933139937582778,0.024747186414639,0.5
BA7A3X,0.0002829089721762807,1.0,0.12609423563421146,0.09202170608222839,0.1519141996559963,0.14139178572646172,0.11617461922530224,0.14890009292885334,0.15802407228751458,0.10906902401235592,0.16218198972804093,0.19826580800038002,0.15859240802982352,0.15576231670441082,0.14217041865161278,0.11914129355480949,0.107912156947513,0.12314378856435963,0.14178860092601472,0.10977523730843627,0.13082683245336232,0.12288893588113763,0.20020892693928177,0.6145575666215614,0.5
BA7AQ7,9.599099595205894e-05,0.6514528589281364,0.10004991374670064,0.0673615920568971,0.12754999850934223,0.12224799193113554,0.09768646636682607,0.12873970906716628,0.13662834382262024,0.09430158264776717,1.0,0.17142153465365292,0.1268153964212805,0.13467281948396892,0.12292120155970146,0.0812172470268641,0.09330135003254356,0.10647068918069333,1.0,0.09491217793006958,0.11311348446419318,0.10625034237198674,0.17301575869362715,0.05989623370111188,0.5
AVAATJ,9.599099595205894e-05,0.08707787343729809,0.06520318476847964,0.034366902706784955,0.0949512340724978,0.608911887085009,0.07294972510130736,0.10176555955544511,0.10800133044411842,0.07454307140081619,0.8106679107877532,0.817926214124799,0.520957556119287,1.0,0.09716617311465557,0.03047570816765978,0.07375241222882185,0.084162449482267,0.08903355594385283,0.07502573188696815,0.089413415046318,0.08398827077356273,0.1366318985951273,0.039815038997012026,0.5
